"Aaron";"D";"PAa";"@1979";"Aaron";"Paul";"[1]";"Un"
"Abel";"DPW";"JeA";"@1971";"Abel";"Jeanne";"";"Un"
"Abbott";"AWDP";"GgA";"@1929-1958";"Abbott";"George";"1887";"Un"
"Abrahams";"WD";"xAb";"@1948";"Abrahams";"";"[1]";"Un"
"J.Abrahams";"WD";"JiA";"@1980-1988";"Abrahams";"Jim";"";"Un"
"Jeffrey Abrams";"W";"";"@1991-1992";"Abrams";"Jeffrey";"1967";"Un"
"Abramson";"D";"NAb";"@1998";"Abramson";"Neil";"";"Un"
"Abduladze";"D";"TAb";"@1977";"Abduladze";"Tengiz";"";"Un"
"Abramson";"D";"NAb";"@1998";"Abramson";"Nel";"";"Un"
"Ackerman";"D";"RAA";"@1994";"Ackerman";"Robert Allan";"19xx";"Un"
"Acub";"D";"NAA";"@1957";"Acub";"Nya' Abbas";"";"Un"
"Ken Adam";"V";"";"1947-1993";"Adam";"Ken";"1921";"Un"
"Adamson";"DP";"AlA";"@1969-1983";"Adamson";"Al";"[1]";"Un"
"Addis";"D";"JuA";"@1955-1957";"Addis";"Justus";"[1]";""
"Adler";"D";"GAe";"@1996";"Adler";"Gilber";"";"Un"
"C.Adler";"D";"CAd";"@1998";"Adler";"Carine";"";"Un"
"Adlon";"D";"PAd";"@1981-1994";"Adlon";"Percy";"[1]";"Un"
"Adolfi";"AD";"IGA";"@1915-1933";"Adolfi";"John G.";"1888";"1933"
"Adomenaite";"D";"NyA";"@1991";"Adomenaite";"Niyole";"19xx";"Un"
"Afredson";"D";"DAf";"@1993";"Afredson";"Daniel";"19xx";"Un"
"Aguirre";"D";"MoA";"@1991";"Aguirre";"Monte";"19xx";"Un"
"Fred Ahern";"P";"";"";"Ahern";"Fred";"[1]";""
"Akerman";"D";"CAm";"@1969-1993";"Akerman";"Chantal";"19xx";"Un"
"Akkad";"D";"MAk";"@1976";"Akkad";"Mustapha";"[1]";"Un"
"Alardice";"W";"";"";"Allardice";"James";"";"Un"
"Alda";"AWD";"AAl";"@1979-1986";"Alda";"Alan";"1936";"Un"
"Aldrich";"DP";"RoA";"@1953-1981";"Aldrich";"Robert";"1918";"1983"
"Alea";"D";"TGA";"@1964-1968";"Alea";"Tomas Gutierrez";"1927";"1996"
"Alessandrini";"D";"GoA";"@1942";"Alessandrini";"Goffredo";"[1]";"Un"
"Alexander";"WPD";"JAx";"@1992";"Alexander";"Jourdon";"19xx";"Un"
"Alexandrov";"D";"GAv";"@1934";"Alexandrov";"Grigori";"19xx";"19xx"
"Algar";"D";"JAl";"@1954";"Algar";"James";"19xx";"Un"
"Aliwalas";"WDA";"FcA";"@1997";"Aliwalas";"Francisco";"1965";"199x"
"Algrant";"WD";"DAl";"@1994";"Algrant";"Dan";"19xx";"Un"
"M.Allegret";"D";"MAl";"@1931-1963";"Allégret";"Marc";"1900";"1973"
"Y.Allegret";"D";"YAl";"@1941-1963";"Allégret";"Yves";"1907";"Un"
"C.Allen";"ADW";"CoA";"@1977-1978";"Allen";"Corey";"1934";"Un"
"F.Allen";"D";"FAl";"@1940";"Allen";"Fred";"[1]";"Un"
"I.Allen";"WPD";"InA";"@1955-1974";"Allan";"Irwin";"1916";"1991"
"L.Allen";"D";"LAl";"@1944-1963";"Allan";"Lewis";"1905";"Un"
"T.Allen";"WD";"TAl";"@1990";"Allan";"Ted";"[1]";"Un"
"Woody Allen";"WDAP";"WA";"@1969-1991";"Konigsberg";"Allen Stewart";"1935";"Un"
"Allers";"D";"RgA";"@1994";"Allers";"Roger";"19xx";"Un"
"Almendros";"C";"";"@1965";"Almendros";"Nestor";"1931";"1992"
"Almond";"DW";"PlA";"@1959-1968";"Almond";"Paul";"";"Un"
"Almodovar";"DA";"PAl";"@1980-1994";"Almodóvar";"Pedro";"1951";"Un"
"Altman";"DWP";"RAl";"@1955-1982";"Altman";"Robert";"1922";"Un"
"Amadio";"D";"SiA";"@1960";"Amadio";"Silvio";"";"Un"
"Amaral";"D";"SuA";"@1985";"Amaral";"Suzana";"";"Un"
"Amelio";"D";"GnA";"@1993-1996";"Amelio";"Gianni";"19xx";"Un"
"Amenabar";"D";"AAm";"@1999";"Amenábar";"Alejandro";"19xx";"19yy"
"Amurri";"WD";"FAm";"@1989-1994";"Amurri";"Franco";"";"199x"
"Amiel";"PD";"JoA";"@1990-1993";"Amiel";"Jon";"[1]";"Un"
"Anders";"D";"AAn";"@1992-1194";"Anders";"Allison";"";"Un"
"Andersen";"D";"ToA";"@1974";"Andersen";"Thom";"19xx";"Un"
"B.Anderson";"D";"BdA";"@1996";"Anderson";"Brad";"";"Un"
"K.Anderson";"D";"KuA";"@1991";"Anderson";"Kurt";"";"Un"
"Lr.Anderson";"D";"LrA";"@1991";"Anderson";"Laurie";"";"Un"
"L.Anderson";"DA";"LiA";"@1953-1987";"Anderson";"Lindsay";"1923";"1994"
"M.Anderson";"D";"MiA";"@1950-1982";"Anderson";"Michael";"1920";"Un"
"P.Anderson";"WD";"PTA";"@1997";"Anderson";"Paul Thomas";"19xx";"Un"
"S.Anderson";"D";"SvA";"@1992";"Anderson";"Steve";"";"Un"
"W.Anderson";"D";"WeA";"@1996";"Anderson";"Wes";"";"Un"
"deAndrade";"D";"JPd";"@1962-1969";"de b";"Joaquim Pedro";"";"Un"
"G.Andre";"D";"";"@1911";"André";"Henri";"19xx";"Un"
