"AA13";"Pygmalion";"1938";"0.5";"LuB20";"Pygmalion";"1937"
"AA13";"Pygmalion";"1938";"0.2";"HH15";"Twentieth Century";"1934"
"AAl20";"Betsy's Wedding";"1990";"0.8";"VM9";"Father of the Bride";"1950"
"AbF10";"Ms. 45";"1981";"0.8";"MiW22";"Death Wish";"1974"
"AbF27";"Body Snatchers";"1994";"0.85";"PK5";"The Invasion of the Body Snatchers";"1978"
"ABo10";"And God Spoke";"1993";"0.6";"CDM80";"The Ten Commandments";"1956"
"AC20";"The Great Impersonation";"1935";"0.9";"Z2110";"The Great Impersonation";"1921"
"ACy10";"Les Amants de Verone";"1949";"0.9";"GC15";"Romeo and Juliet";"1936"
"AdL20";"Lolita";"1997";"0.8";"StK6";"Lolita";"1962"
"ADv15";"Under Siege";"1992";"0.7";"IMT10";"Die Hard";"1988"
"ADv22";"A Perfect Murder";"1998";"0.85";"H50";"Dial M for Murder";"1954"
"ADT18";"House of Wax";"1953";"0.8";"C91";"The Mystery of The Wax Museum";"1933"
"ADx35";"To Woody Allen with Love";"1983";"0.3";"WA9";"Stardust Memories";"1980"
"ADx39";"Babel Opera";"1983";"0.6";"JLo27";"Don Giovanni";"1979"
"ADx45";"L'Oevre au Noir";"1988";"0.1";"JJA10";"The Name of the Rose";"1986"
"ADx45";"L'Oevre au Noir";"1988";"0.1";"ACv10";"Therese";"1986"
"ADw40";"Rebecca of Sunnybrook Farm";"1938";"0.8";"MaN30";"Rebecca of Sunnybrook Farm";"1917"
"ADw45";"The Three Musketeers";"1939";"0.7";"RVL14";"The Three Musketeers";"1935"
"ADw75";"Tennessee's Partner";"1954";"0.81";"CBa30";"The Golden Princess";"1919"
"AEG25";"The Ghost Breaker";"1922";"0.9";"CDM7";"The Ghost Breaker";"1914"
"AEG70";"The Eddie Cantor Story";"1953";"0.8";"AEG60";"The Jolson Story";"1946"
"AG40";"Napoleon";"1934";"0.99";"AG20";"Napoleon";"1927"
"AG50";"J'accuse";"1937";"0.99";"AG10";"J'accuse";"1919"
"AgH15";"The Secret Garden";"1993";"0.9";"FWx20";"The Secret Garden";"1949"
"AgH19";"Washington Square";"1997";"0.8";"WW64";"The Heiress";"1949"
"AII1";"The Adventures of Scaramouche";"1964";"0.9>";"GSy11";"Sacaramouche";"1952"
"AHa10";"The Lion in Winter";"1968";"0.8";"PeG5";"Becket";"1964"
