"Phènakistiscope";"";"Paris";"France";"1832";""
"Zootrope";"";"";"UK?";"1834";""
"Phenakistiscope";"";"Paris";"France";"1835";""
"L'anorthoscope";"";"Paris";"France";"1836";""
"Photobioscope";"";"";"";"2Aug1867";""
"Pocket Kinematograph";"";"";"";"1868";""
"Zootrope";"";"Paris";"France";"1876";""
"Thaumatrope";"";"Paris";"France";"1877";""
"Life Projection Wheel?";"";"Stanford CA";"USA";"1880";""
"Schnellseher";"";"";"Germany";"1887";""
"Praxinoscope";"";"";"France";"1876";""
"Projection-Praxinoscope";"";"";"France";"1881";"1882"
"Film Camera";"";"";"Germany";"1889";""
"35mm Film Camera";"Edison";"New Jersey";"USA";"1893";""
"Kinetoscope";"Edison";"";"NJ";"1894";""
"Practical Projectors";"Lumiere Fr.";"Lyon";"France";"1895";""
"Vitascope? Projectors";"Vitascope";"New York";"USA";"1895";""
"Practical Projectors";"M.Skladanowsky";"Berlin";"Germany";"1895";""
"Phakinescope";"";"";"";"1896";""
"Selig Polyscope";"Selig";"Chicago";"USA";"1896";""
"Stereo-Praxinoscope";"";"";"France";"1902";""
"Skladanowsky";"M. and E. Skladanowsky";"Wintergarten Berlin";"Germany";"1Nov1895";""
"Lumiere";"Lumiere Fr.";"Grand Café Paris";"France";"28Dec1895";""
"Latham";"O.G.,W.Latham";"New York";"USA";"1895";""
"Dickson";"W.Dickson";"New York";"USA";"1895";""
"Pathe";"Pathé Cinema SA";"Paris";"France";"1902";"1946?"
"Cines";"";"Rome";"Italy";"1906";"1921"
"Vitascope";"";"";"USA";"1908?";""
"Edison";"Edison Company";"New York";"USA";"1904";""
"Essanay";"George K.Spoor";"Chicago";"USA";"1907";""
"MPP";"Motion Picture Patents Co.";"Los Angeles";"USA";"1909";"1915"
"IMP";"Independent Motion Picture Co.";"New York";"USA";"1909";"1912"
"IMP 2";"Independent Motion Picture Co.";"";"Cuba";"";""
"AFM";"American Film Manufacturing";"";"CA";"1910";""
"Ebony";"Ebony Motion Picture Co.";"Chicago";"USA";"";""
"General Film";"MPP";"";"";"1910";""
"Great Northern";"Nordisk Films Company";"";"Denmark";"1911";"1915"
"Chrystal";"";"Bronx";"NY";"1912";""
"Ambrosio";"Societa Anonima Ambrosio";"Turin";"Italy";"<1912";"1917-"
"Eclair";"";"";"France";"1912";""
"Eclair 2";"Eclair";"Ft.Lee NJ";"USA";"1912+";""
"MPSA";"Motion Pictures Sales Agency Ltd";"London";"England";"1913-";""
"Artistica Gloria";"";"Turin";"Italy";"1913";""
"Famous";"Famous Players";"New York?";"USA";"1913";"1918"
"New York";"New York Motion Pictures Company";"New York";"USA";"<1914";""
"Union";"Union Film Produktion";"Berlin";"Germany";"1914?";"1917"
"World";"World Film Corp.";"";"USA";"1915?";""
"Triangle";"Triangle";"New York";"USA";"1915?";"1917"
"Feature Play";"Jesse L. Lasky Feature Play Company";"New York";"USA";"1913";"1916"
"Paramount";"Paramount Corp.";"Los Angeles";"USA";"1916";"1993"
"Pickford";"Pickford Film Corp.";"";"USA";"1917?";"1920+"
"First National";"First National";"";"USA";"1917";"1920+"
"Chaplin";"Chaplin Studios";"Los Angeles";"USA";"1918";"1919"
"Standard";"Standard Film Corp";"";"USA";"1919";""
"FPL";"Famous Players Lasky";"Los Angeles";"USA";"1918?";"1920"
"PFL";"Paramount Famous Lasky";"Los Angeles";"USA";"1928?";"1994+"
"UFA";"Universum Film AG";"Neubabelsberg";"Germany";"1917";"1933"
"U.A.";"United Artists";"Hollywood";"USA";"1919";"1983"
"Cineromans";"Cineromans";"Nice";"France";"1919";"1922?"
"Goldwyn";"Goldwyn Pictures";"West Hollywood";"USA";"1922";"1934?"
"Biograph";"W.D.Griffith";"";"USA";"1903";"1910"
"Griffith";"W.D.Griffith";"Mamaroneck NY";"USA";"1920";"1935"
"MGM";"Metro-Goldwyn-Mayer";"Culver City";"USA";"1920";"1935?"
"Victory";"Victory Films";"Birmingham";"England";"1920";"1922"
"Famous";"Famous Players";"Islington";"England";"1921";"1922"
"Seven Arts";"";"";"";"";"1961"
"Universal";"Universal Studios";"North Hollywood";"USA";"1921";"1962"
"Lubitsch";"Lubitsch Film Produktion";"Berlin";"Germany";"1922";""
"Wardour";"Wardour F.";"Islington";"England";"1922";""
