"ABW40";"Haunted Honeymoon";"USA";"WAS:GB";"Busman's Honeymoon"
"ACa40";"Forty-eight Hours";"USA";"WAS: GB";"Went the Day Well?"
"ADv1";"The Man Who Had His Hair Cut Short";"GB";"WAS: Flemish";"De Man Die Zijn Haar Kort Liet Knippen"
"ADv30";"Women in Twilight";"GB";"WAS: Du";"Een Vrouw tussen Hond en Wolf"
"AG6";"End of the World as Seen, Heard, and Rendered by Abel Gance";"USA GB";"WAS:France";"La Fin du Monde"
"AK90";"Lady Hamilton";"USA";"WAS:GB";"That Hamilton Woman"
"AkK15";"The Seven Samurai";"WAS:USA";"Japan";"Shichinin no Samurai"
"AkK27";"The Shadow Warrior";"WAS:USA";"Japan";"Kagemusha"
"AlL2";"White Mane";"USA";"WAS:Fr";"Crin Blanc"
"AL13";"Years Without Days";"GB";"WAS:USA";"Castle on the Hudson"
"AlL3";"The Red Baloon";"USA";"WAS:Fr";"Le Ballon rouge"
"AlZ5";"Beauty and the Robot";"USA";"WAS:USA";"Sex Kittens go to College"
"AlZ5";"Beauty and the Brain";"USA";"WAS:USA";"Sex Kittens go to College"
"AMk10";"The Passenger";"USA";"WAS:Poland";"Pasazerka"
"AOz10";"The Horse";"USA";"WAS:Tu";"At"
"ASj15";"Frenzy";"Sweden";"WAS:GB";"Hets|"
"ASj15";"Torment";"USA";"WAS:Sweden";"Hets"
"BrR1";"Overseas";"USA";"WAS:France";"Outremer"
"BTv5";"Spoiled Children";"USA";"WAS: Fr";"Les Enfants Ga^tés"
"BTv12";"Life and Nothing But";"USA";"WAS:France";"La vie et Rien d'Autre"
"BW9";"Ace in the Hole";"GB";"WAS:USA";"The Big Carnival"
"CAL15";"The Devil in the Flesh";"USA";"WAS:Fr";"Le Diable au Corps"
"CAL25";"The Red Inn";"USA";"WAS:Fr";"L'Auberge Rouge"
"CAL35";"The Game of Love";"USA";"WAS:Fr";"Le Blé en herbe"
"CAL36";"The Red and the Black";"USA";"WAS:Fr";"Le Rouge et Le Noir"
"CAL36";"Scarlet and Black";"GB";"WAS:Fr";"Le Rouge et Le Noir"
"CAL46";"Four Bags Full";"USA";"WAS:Fr";"La Traversée de Paris"
"CAL46";"Pig Across Paris";"GB";"WAS:Fr";"La Traversée de Paris"
"CBr33";"Marie Walewska";"GB";"WAS:USA";"Conquest"
"CCG4";"The Confession";"USA";"WAS:France";"L'Aveu"
"CD20";"Old Dra";"1974";"WAS:1973";"Old Dracula"
"CD20";"Vampira";"1974";"WAS:1973";"Old Dracula"
